molecule	ORF	genome	gene	start	end	orientation
NC_002967.9_2504	NC_002967.9_2504	NC_002967.9	Length	1	934	1
NC_002978.6_420	NC_002978.6_420	NC_002978.6	Length	1	336	1
NC_002978.6_465	NC_002978.6_465	NC_002978.6	Length	1	330	1
NC_003276.1_238	NC_003276.1_238	NC_003276.1	Length	1	607	1
NC_003295.1_1827	NC_003295.1_1827	NC_003295.1	Length	1	292	1
NC_003450.3_2063	NC_003450.3_2063	NC_003450.3	Length	1	193	1
NC_003901.1_47	NC_003901.1_47	NC_003901.1	Length	1	361	1
NC_004342.2_1808	NC_004342.2_1808	NC_004342.2	Length	1	247	1
NC_004917.1_1139	NC_004917.1_1139	NC_004917.1	Length	1	481	1
NC_004917.1_124	NC_004917.1_124	NC_004917.1	Length	1	287	1
NC_006958.1_2017	NC_006958.1_2017	NC_006958.1	Length	1	193	1
NC_007410.1_2	NC_007410.1_2	NC_007410.1	Length	1	607	1
NC_007798.1_13	NC_007798.1_13	NC_007798.1	Length	1	202	1
NC_008390.1_1853	NC_008390.1_1853	NC_008390.1	Length	1	237	1
NC_008781.1_2009	NC_008781.1_2009	NC_008781.1	Length	1	224	1
NC_008781.1_2411	NC_008781.1_2411	NC_008781.1	Length	1	256	1
NC_008781.1_3086	NC_008781.1_3086	NC_008781.1	Length	1	223	1
NC_009488.1_1601	NC_009488.1_1601	NC_009488.1	Length	1	391	1
NC_009488.1_213	NC_009488.1_213	NC_009488.1	Length	1	292	1
NC_009488.1_65	NC_009488.1_65	NC_009488.1	Length	1	424	1
NC_009488.1_887	NC_009488.1_887	NC_009488.1	Length	1	394	1
NC_009727.1_1821	NC_009727.1_1821	NC_009727.1	Length	1	373	1
NC_009883.1_1200	NC_009883.1_1200	NC_009883.1	Length	1	376	1
NC_010170.1_2578	NC_010170.1_2578	NC_010170.1	Length	1	285	1
NC_010528.1_1434	NC_010528.1_1434	NC_010528.1	Length	1	249	1
NC_010546.1_2370	NC_010546.1_2370	NC_010546.1	Length	1	342	1
NC_010551.1_1821	NC_010551.1_1821	NC_010551.1	Length	1	237	1
NC_010623.1_1123	NC_010623.1_1123	NC_010623.1	Length	1	176	1
NC_010793.1_1436	NC_010793.1_1436	NC_010793.1	Length	1	243	1
NC_010793.1_1672	NC_010793.1_1672	NC_010793.1	Length	1	167	1
NC_010793.1_254	NC_010793.1_254	NC_010793.1	Length	1	390	1
NC_010793.1_49	NC_010793.1_49	NC_010793.1	Length	1	345	1
NC_010793.1_836	NC_010793.1_836	NC_010793.1	Length	1	491	1
NC_010830.1_214	NC_010830.1_214	NC_010830.1	Length	1	405	1
NC_010830.1_218	NC_010830.1_218	NC_010830.1	Length	1	702	1
NC_010981.1_1015	NC_010981.1_1015	NC_010981.1	Length	1	297	1
